model,predictions_path,n,resamples,seed,f1,f1_ci_lo,f1_ci_hi
rule_baseline,results/rule_test_predictions.csv,15,1000,42,0.6666666666666666,0.35294117647058826,0.8695652173913043
pose_cnn_xyz_deriv,results/classifier_test_predictions.csv,15,1000,42,0.7,0.4,0.8888888888888888
videomae_frozen_head,results/videomae_frozen_head/predictions.csv,15,1000,42,0.5714285714285714,0.23529411764705882,0.75
videomae_finetuned,results/videomae_finetuned/predictions_test.csv,15,1000,42,0.8181818181818182,0.6,0.9629629629629629
videomae_finetuned_n200,results/videomae_finetuned_n200/predictions_test.csv,15,1000,42,0.631578947368421,0.3076923076923077,0.8421052631578947
